commit	best_acc	memory_gb	status	description
db6383f	94.80	0.4	discard	RandomCrop padding=8 (slightly worse)
e438962	94.59	0.5	discard	wider last stage {32,64,160} (slower)
ec88a35	94.41	0.4	discard	stochastic depth (0.1 max drop)
f794aa9	94.63	0.4	discard	CutMix alpha=1.0 replacing Cutout
8620c88	94.76	0.4	discard	seed=123 variance check (94.95 with seed=42)
848422a	93.06	0.4	discard	BS=64 LR=0.1 (much worse)
5c028e0	94.93	0.4	discard	reflect padding in RandomCrop (within noise)
629ddaa	94.70	0.4	discard	dropout 0.1 before FC
cc9f72c	94.36	0.6	discard	ResNet-14 (n=2) with base_width=48
4966955	94.22	0.4	discard	2 Cutout holes (too much augmentation)
5362962	93.49	0.4	discard	AdamW (lr=1e-3 wd=0.05) - SGD better
b17dc3f	93.28	0.4	discard	no Cutout or label smoothing (confirms they help)
df78c1d	94.63	0.4	discard	label smoothing 0.15 (0.1 is optimal)
6e3df68	94.34	0.4	discard	Cutout size 12 (16 is optimal)
2a3083b	93.86	0.9	discard	4th stage (256ch@4x4) - too many params/VRAM
a0efabd	94.87	0.4	discard	SWA from last 25% (slightly worse)
19ec2fe	10.00	0.4	crash	SAM broken with AMP scaler
c2cf7d9	95.37	0.4	keep	replace ReLU with GeLU activation
a7b29cd	95.30	0.4	discard	LR=0.25 with GeLU (0.2 is better)
0937204	95.22	0.4	discard	cosine T_max=30k (27k is better)
7b9010a	94.78	0.4	discard	weight decay 3e-4 with GeLU (too much)
4352d9a	95.18	0.4	discard	AutoAugment CIFAR10 policy (too much aug)
8a8e0c5	94.22	0.4	discard	remove Cutout (much worse - still needed)
4fde552	95.11	0.4	discard	SiLU (Swish) activation (GeLU is better)
d7ba735	94.97	0.4	discard	cosine warm restarts T_0=9k (worse than single cosine)
b91f552	95.16	0.4	discard	double conv stem (extra complexity no gain)
0490e19	94.62	0.4	discard	weight decay 5e-5 (too little regularization)
ef64d1b	95.00	0.4	discard	hidden FC layer 128->256->10 (worse)
279b890	94.59	0.4	discard	Mish activation (GeLU is better)
312629e	94.63	0.4	discard	asymmetric widths {24,64,128} (less capacity)
fe944da	94.94	0.4	discard	longer warmup 1000 steps (worse)
fb7b35d	94.72	0.4	discard	RandomErasing instead of Cutout (worse)
a0dd292	94.99	0.4	discard	cosine eta_min=0 (1e-5 is better)
836a5d7	94.76	0.4	discard	random Cutout size 8-16 (fixed 16 is better)
b0fc670	94.74	0.4	discard	cosine T_max=24k (worse)
aa85c81	94.65	0.4	discard	final BatchNorm1d before FC (worse)
e640106	94.94	0.4	discard	seed=0 variance check (95.37 with seed=42)
f35c740	94.75	0.4	discard	PolynomialLR power=2 (cosine is better)
bb821d1	94.10	0.4	discard	concat avg+max pooling (much worse)
d7fcfdd	94.69	0.4	discard	Xavier normal init (Kaiming still better)
db31fef	94.57	0.4	discard	zero-init BN gamma in residual branches (worse)
c2ba473	94.81	0.4	discard	Cutout size 20 (16 is optimal)
71fd906	95.08	0.4	discard	Mixup alpha=0.1 with GeLU (within noise)
